the 3822 6.737294858009131
of 2460 4.3364064235223605
and 1723 3.0372472633044825
to 1479 2.607132154629907
a 1308 2.3056990251899383
in 997 1.7574785383137372
is 894 1.5759135539142237
that 652 1.1493239789173086
by 607 1.0699994711699483
it 573 1.0100653986497206
which 561 0.988912196583758
not 551 0.9712845281954556
was 536 0.9448430256130023
with 498 0.8778578857374535
be 477 0.8408397821220187
we 463 0.8161610463783955
for 443 0.7809057096017911
they 441 0.7773801759241306
are 437 0.7703291085688095
but 432 0.7615152743746584
have 398 0.7015812018544307
as 388 0.6839535334661284
their 387 0.6821907666272983
i 353 0.6222566941070704
or 338 0.595815191524617
his 314 0.5535087873926915
at 312 0.5499832537150311
were 304 0.5358811190043893
he 303 0.534118352165559
had 275 0.4847608806783127
from 274 0.4829981138394825
no 268 0.47242151280650113
has 244 0.4301151086745756
been 216 0.3807576371873292
an 210 0.37018103615434783
very 208 0.3666555024766874
one 201 0.3543161346048758
who 199 0.35079060092721537
there 195 0.34373953357189446
them 195 0.34373953357189446
some 193 0.340213999894234
this 187 0.3296373988612526
on 173 0.3049586631176294
where 171 0.30143312943996897
our 166 0.29261929524581787
only 159 0.2802799273740062
than 153 0.26970332634102484
more 152 0.26794055950219464
if 151 0.2661777926633644
so 150 0.2644150258245342
all 149 0.26265225898570393
other 136 0.23973629008091102
could 134 0.23621075640325057
little 134 0.23621075640325057
any 132 0.2326852227255901
when 130 0.2291596890479296
found 129 0.22739692220909938
may 126 0.2221086216926087
us 125 0.22034585485377847
great 121 0.21329478749845757
upon 120 0.21153202065962734
its 116 0.20448095330430643
now 115 0.2027181864654762
yet 109 0.19214158543249482
will 106 0.18685328491600414
what 105 0.18509051807717392
him 105 0.18509051807717392
much 104 0.1833277512383437
every 103 0.18156498439951346
made 100 0.17627668388302278
must 100 0.17627668388302278
would 96 0.16922561652770188
those 95 0.16746284968887165
time 93 0.1639373160112112
such 92 0.16217454917238097
can 91 0.16041178233355075
without 90 0.15864901549472052
long 88 0.15512348181706007
never 88 0.15512348181706007
into 87 0.15336071497822984
place 84 0.14807241446173916
two 84 0.14807241446173916
man 83 0.14630964762290893
perhaps 83 0.14630964762290893
house 83 0.14630964762290893
islands 80 0.14102134710641823
many 80 0.14102134710641823
s 79 0.139258580267588
nor 78 0.13749581342875777
these 78 0.13749581342875777
mr 77 0.13573304658992755
might 77 0.13573304658992755
part 75 0.1322075129122671
island 74 0.13044474607343687
col 72 0.12691921239577642
laird 65 0.1145798445239648
sky 64 0.11281707768513458
therefore 63 0.11105431084630435
own 63 0.11105431084630435
ground 62 0.10929154400747412
told 61 0.1075287771686439
country 61 0.1075287771686439
life 61 0.1075287771686439
though 60 0.10576601032981367
cannot 60 0.10576601032981367
men 59 0.10400324349098344
having 58 0.10224047665215322
came 56 0.09871494297449276
inhabitants 55 0.09695217613566254
another 54 0.0951894092968323
here 54 0.0951894092968323
places 54 0.0951894092968323
always 54 0.0951894092968323
english 54 0.0951894092968323
should 54 0.0951894092968323
people 53 0.09342664245800207
among 53 0.09342664245800207
first 52 0.09166387561917184
scotland 51 0.08990110878034162
way 51 0.08990110878034162
said 51 0.08990110878034162
did 51 0.08990110878034162
because 51 0.08990110878034162
whose 50 0.08813834194151139
about 50 0.08813834194151139
before 50 0.08813834194151139
small 48 0.08461280826385094
like 48 0.08461280826385094
maclean 48 0.08461280826385094
till 47 0.08285004142502071
however 47 0.08285004142502071
her 47 0.08285004142502071
seen 47 0.08285004142502071
whether 47 0.08285004142502071
sea 47 0.08285004142502071
less 46 0.08108727458619049
over 46 0.08108727458619049
nothing 46 0.08108727458619049
same 46 0.08108727458619049
hundred 46 0.08108727458619049
then 46 0.08108727458619049
years 45 0.07932450774736026
called 45 0.07932450774736026
make 45 0.07932450774736026
last 45 0.07932450774736026
well 44 0.07756174090853003
day 44 0.07756174090853003
few 44 0.07756174090853003
still 44 0.07756174090853003
being 44 0.07756174090853003
sometimes 44 0.07756174090853003
countries 43 0.0757989740696998
once 43 0.0757989740696998
power 43 0.0757989740696998
my 42 0.07403620723086958
easily 42 0.07403620723086958
away 42 0.07403620723086958
often 41 0.07227344039203935
use 41 0.07227344039203935
land 41 0.07227344039203935
neither 40 0.07051067355320911
common 40 0.07051067355320911
far 40 0.07051067355320911
old 40 0.07051067355320911
do 40 0.07051067355320911
after 40 0.07051067355320911
known 39 0.06874790671437889
seems 39 0.06874790671437889
water 39 0.06874790671437889
new 39 0.06874790671437889
himself 39 0.06874790671437889
whom 39 0.06874790671437889
considered 39 0.06874790671437889
know 39 0.06874790671437889
think 39 0.06874790671437889
too 38 0.06698513987554866
present 38 0.06698513987554866
general 38 0.06698513987554866
either 38 0.06698513987554866
stone 37 0.06522237303671843
left 36 0.06345960619788821
commonly 36 0.06345960619788821
themselves 36 0.06345960619788821
money 36 0.06345960619788821
saw 36 0.06345960619788821
side 36 0.06345960619788821
better 36 0.06345960619788821
she 35 0.06169683935905798
believe 35 0.06169683935905798
heard 35 0.06169683935905798
cattle 35 0.06169683935905798
ever 34 0.059934072520227755
most 34 0.059934072520227755
ancient 34 0.059934072520227755
between 34 0.059934072520227755
supposed 34 0.059934072520227755
state 33 0.05817130568139753
stones 33 0.05817130568139753
probably 33 0.05817130568139753
whole 33 0.05817130568139753
find 33 0.05817130568139753
me 33 0.05817130568139753
language 33 0.05817130568139753
highlands 33 0.05817130568139753
others 32 0.05640853884256729
reason 32 0.05640853884256729
chief 32 0.05640853884256729
thus 32 0.05640853884256729
want 32 0.05640853884256729
under 32 0.05640853884256729
